En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Coahuila de Zaragoza,"Torreón,Coahuila de Zaragoza",Al 30 de junio de 2021,1,  30 055,  14 499,  11 450,59,0,0,0,0,0,  1 560,780,0,296,0,128,0,0,168,0,0,79,0,0,  1 036,0
 Colima,"Colima,Colima",2019,1,  21 329,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  21 329
 Colima,"Colima,Colima",2020,1,  20 084,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  20 084
 Colima,"Colima,Colima",Al 30 de junio de 2021,1,  9 583,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  9 583
 Chiapas,"San Cristóbal de las Casas,Chiapas",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Chiapas,"San Cristóbal de las Casas,Chiapas",2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Chiapas,"San Cristóbal de las Casas,Chiapas",Al 30 de junio de 2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Chiapas,"Tapachula,Chiapas",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Chiapas,"Tapachula,Chiapas",2020,1,885,365,274,60,0,35,21,5,7,6,4,0,86,3,2,5,0,3,2,2,1,0,4,0,0
 Chiapas,"Tapachula,Chiapas",Al 30 de junio de 2021,1,  2 557,  1 232,541,127,0,160,42,12,5,17,28,0,129,4,0,3,0,7,1,1,3,0,2,0,243
 Chiapas,"Tuxtla Gutiérrez,Chiapas",2019,1,  3 945,786,458,17,0,42,3,0,0,96,8,0,40,0,0,0,0,9,0,0,0,0,0,0,  2 486
 Chiapas,"Tuxtla Gutiérrez,Chiapas",2020,1,  3 389,975,299,0,95,0,95,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  1 919
 Chiapas,"Tuxtla Gutiérrez,Chiapas",Al 30 de junio de 2021,1,  3 962,321,220,0,224,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  3 191
 Chihuahua,"Chihuahua,Chihuahua",2019,1,  7 641,  2 737,  2 422,76,1,87,39,19,2,476,33,0,  1 295,0,0,0,0,0,0,0,0,0,0,454,0
 Chihuahua,"Chihuahua,Chihuahua",2020,1,  5 292,  1 804,  1 711,55,10,78,150,10,2,553,11,0,512,0,0,0,0,0,0,0,0,0,0,396,0
 Chihuahua,"Chihuahua,Chihuahua",Al 30 de junio de 2021,1,  3 706,  1 218,  1 161,51,15,74,34,11,1,288,49,0,413,0,0,0,0,0,0,0,0,0,0,391,0
 Chihuahua,"Juárez,Chihuahua",2019,1,  3 020,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  3 020
 Chihuahua,"Juárez,Chihuahua",2020,1,  9 877,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  9 877
